author.username	content	timestamp
luz33c	The test net deligator shouldn't get it because it's a test net ah, your project is containing three roles avs, operator, and deligator, and you're now equivalent to giving a deligator bonus only. Of course you are happy to get the rewards, but you have overlooked the fact that it is very difficult for this project to compete with similar projects, and it has forgotten what kind of project it is!	2024-05-12T06:31:43.749000+00:00
shaonian	I must say that I feel that the team has rewarded the addresses that contribute to the testnet according to their screening method, but my node serves as both an operator and a restaker, and the team seems to have ignored my 400 reward as an operator. This may be because my address already received some compensation for being a restaker, but I was short of the operator's 400 reward. I don't think there is any other problem.	2024-05-12T05:00:49.868000+00:00
kenz3964	Sh.m i was thinking they got 110 tokens only.. what are team thining :))	2024-05-12T04:02:42.501000+00:00
shwifteey	did AI write that?	2024-05-12T00:29:40.051000+00:00
shwifteey	"shift your focus to the invaluable knowledge and experience you gained through your participation"	2024-05-12T00:28:36.239000+00:00
bib362	is there any mode here?	2024-05-11T23:50:26.377000+00:00
bib362	i was a deligator in goerli  to avs but i do not get anything	2024-05-11T23:50:00.177000+00:00
ivanhuk.	AnkrETH and no problems	2024-05-11T20:26:10.980000+00:00
cheetah33333	"While it's understandable to be disappointed, it's important to remember that airdrops are rarely about equal distribution; they're strategic tools used to incentivize specific behaviors and contributions. The initial announcement of a non-incentivized testnet further underscores that there were no guarantees of rewards.

Instead of fixating on the outcome of this particular airdrop, shift your focus to the invaluable knowledge and experience you gained through your participation. The skills you acquired and the insights you gleaned are the true rewards that will continue to benefit you in the long run and better prepare you for future opportunities ."	2024-05-11T20:06:46.660000+00:00
wale217	Sadly, a few  insensitive ones who got some allocation because they spent more, thinks others who also made some effort but spent less don’t have a right to receive anything.	2024-05-11T19:48:09.381000+00:00
_smeee	Nope	2024-05-11T19:44:33.394000+00:00
j13aowcxsvw3549	wow, getting lido steth in goerli was real pain in the ass, spent a lot of time to get it and have no reward...	2024-05-11T19:31:15.438000+00:00
bkz	hyuk is right	2024-05-11T18:15:42.930000+00:00
cheetah33333	if you want incentives then opt into EigenDA on mainnet if you don't do that you are just wasting time.	2024-05-11T18:13:43.045000+00:00
wale217	At the very least, every testnet participant deserves something, no matter how little.	2024-05-11T18:12:44.420000+00:00
wale217	On a freaking VPS man. Don’t be insensitive. Stop downplaying other people’s efforts	2024-05-11T18:07:04.299000+00:00
wale217	<@127915375248670720> <@651018891434131456> you were both well rewarded so you don’t care about what happens to anyone else. That shouldn’t be how life goes. It wouldn’t take anything from you to at least fight for others who couldn’t get anything at all.	2024-05-11T18:04:20.827000+00:00
luz33c	If you want to reward users, you should clearly define the rules and give them rewards according to their participation level, or no rewards (since the test network has no incentives), rather than rewarding those who spend more money on test coins. Eigenda should be treated fairly, operators should be treated fairly, and those who participated early should be treated fairly. You should not only encourage test networks to spend money on test coins. This is not a rule.	2024-05-11T18:03:21.261000+00:00
sifu0620	thanks for your help!	2024-05-11T18:02:10.151000+00:00
wale217	How?? With 1000 vps??	2024-05-11T18:01:31.415000+00:00
sifu0620	loos like you didnt read the lasts posts of all the people situation in here	2024-05-11T18:00:52.163000+00:00
sifu0620	so sybils case	2024-05-11T18:00:23.870000+00:00
sifu0620	somes get rewarded for bad adresse, just read somes posts before	2024-05-11T18:00:12.192000+00:00
maciver_	lol	2024-05-11T17:59:57.241000+00:00
maciver_	yeah u could’ve set up like 1000 addresses	2024-05-11T17:59:54.489000+00:00
wale217	"I made a good enough move that also deserved something at the very least. Even if it’s not more than others that put in more effort.
Not giving anything at all is just not the right way to go."	2024-05-11T17:59:50.280000+00:00
sifu0620	im not mad but i dont understand how things were done as we have a lot of situation	2024-05-11T17:59:12.605000+00:00
cheetah33333	just take it as a learning experience	2024-05-11T17:58:31.802000+00:00
cheetah33333	Don't be mad because you weren't making the right moves	2024-05-11T17:58:16.783000+00:00
cheetah33333	for doing the right things!! that is the point of incentives... learn the game ppl!	2024-05-11T17:57:56.812000+00:00
hyuk	<:muhaha:964428827717697546>	2024-05-11T17:57:43.947000+00:00
hyuk	thanks eigenlayer team	2024-05-11T17:57:40.464000+00:00
cheetah33333	yeah ths is what u are supposed to do its practicing good security	2024-05-11T17:57:35.028000+00:00
sifu0620	you are putting them in disbelief <a:kkk:1097817249575866398>	2024-05-11T17:57:17.607000+00:00
wale217	I see. This explains your lukewarm outlook to the whole situation. You were obviously well rewarded	2024-05-11T17:57:17.039000+00:00
hyuk	how	2024-05-11T17:56:22.769000+00:00
sifu0620	adresse?	2024-05-11T17:56:14.064000+00:00
cheetah33333	that's great!	2024-05-11T17:55:58.890000+00:00
hyuk	i received 1500	2024-05-11T17:55:46.008000+00:00
maciver_	can confirm	2024-05-11T17:55:41.773000+00:00
maciver_	this is what happened	2024-05-11T17:55:37.421000+00:00
cheetah33333	that makes sense to me because these addresses likely spent money to buy the gETH and were prob the operator themselves delegating from a restaker address that is what you are supposed to do...  therefore this person contributed more than someone who got free .1 worth of gETH and did nothing else	2024-05-11T17:55:27.405000+00:00
sifu0620	no noise, just trying to understand	2024-05-11T17:55:17.252000+00:00
_smeee	this just is not true	2024-05-11T17:55:01.725000+00:00
hyuk	lmao	2024-05-11T17:54:46.551000+00:00
hyuk	yeah cuz they arent top 200	2024-05-11T17:54:44.962000+00:00
sifu0620	some in top 200 did not received as you can read above	2024-05-11T17:54:33.421000+00:00
cheetah33333	You cannot make statements like this and not back it up. otherwise you are just making noise.	2024-05-11T17:54:29.511000+00:00
hyuk	top 200 received 500 tokens, ppl that delegated an absurd amount in geth recevied 1k+	2024-05-11T17:54:27.954000+00:00
sifu0620	exactly totally random	2024-05-11T17:54:09.933000+00:00
hyuk	nobody else	2024-05-11T17:54:09.793000+00:00
wale217	Scroll up and read	2024-05-11T17:54:08.047000+00:00
hyuk	everyone in the top 200 received rewards	2024-05-11T17:54:07.142000+00:00
wale217	My point exactly, it was all so random and absurd	2024-05-11T17:53:58.158000+00:00
sifu0620	nope :S	2024-05-11T17:53:53.176000+00:00
sifu0620	i will not send the adress in public	2024-05-11T17:53:46.042000+00:00
cheetah33333	Because they ran validation services for EigenDA and got plenty of delegations to stay in the top 200	2024-05-11T17:53:44.883000+00:00
hyuk	like who	2024-05-11T17:53:22.289000+00:00
sifu0620	some get rewards and deposit 0	2024-05-11T17:53:17.938000+00:00
cheetah33333	You deposited .1 goerli ETH	2024-05-11T17:52:58.753000+00:00
sifu0620	some gets rewards and there were never in the top 200	2024-05-11T17:52:50.381000+00:00
cheetah33333	You werent in the top 200 ever	2024-05-11T17:52:20.501000+00:00
sifu0620	but this is not the point, some adresse been rewards without anything as there were garbage and failed delegator adrress	2024-05-11T17:51:58.914000+00:00
sifu0620	i sent it lately, search my name	2024-05-11T17:51:13.997000+00:00
cheetah33333	send your address	2024-05-11T17:50:29.624000+00:00
sifu0620	they did not	2024-05-11T17:49:49.593000+00:00
cheetah33333	lol you could if you were technical enough its on chain buddy	2024-05-11T17:47:41.208000+00:00
_smeee	I don't care how you take me. I came here looking for the merkle data of the contract. Turns out they are not making it public so we cannot claim from the contract. Project just gets worse and worse.	2024-05-11T17:47:00.861000+00:00
cheetah33333	no, there were just missed addresses in the preview... that is the point of doing a preview so you can catch mistakes	2024-05-11T17:46:35.168000+00:00
wale217	They initially started with allocations of minimal EIGEN token allocations as airdrop until there was a backlash that made them actually see things for what they are. What they’re doing to the testnet participants isn’t right and I won’t just sit idly by and stay silent. I’m 100% certain I’m a lot more productive than you are. A closed mouth is a closed destiny, we all have a right to voice our grievances	2024-05-11T17:45:41.919000+00:00
cheetah33333	they did. send your address or you are not going to be taken seriously	2024-05-11T17:44:50.734000+00:00
_systemus	I agree. People who are not responsible for their words are no longer worthy of a drop of our attention and no one will return the contribution to the development of this unfair distribution. Karma itself will overtake those who made the decision and their descendants. Amen.	2024-05-11T17:43:21.293000+00:00
luz33c	Eigenlayer needs capitalists, as well as avs and operators that can actually run and maintain blockchain node services. The three are interdependent. Your point of view is not reasonable. It does not consider the development of the eigenlayer project. We are not worried about not getting it. We are really worried about eigenlayer. (If it is because of such a wrong decision)	2024-05-11T17:39:17.530000+00:00
wale217	Keep quiet. You have nothing meaningful to add to this conversation.  I have a right to speak against perceived injustice	2024-05-11T17:36:55.390000+00:00
_systemus	I tested their testnet steak restake. They were officially branded by the NFT. I believed them when they said that I would get a steak in other protocols after the snapshot from March 15 to April 29 - but it was a lie. Result: I am not worthy of the award ( - perhaps this team has not gone far from Starknet.	2024-05-11T17:35:00.897000+00:00
_smeee	they did not	2024-05-11T17:34:52.511000+00:00
cheetah33333	they clearly rewarded people that were in the top 200 I did not make the rules.	2024-05-11T17:33:56.227000+00:00
maciver_	"Stop complaining. You missed out. Move on. 

No one asked you to be an operator. They compensated those who actually ran EigenDA and made a meaningful contribution to testnet. You spent 5mins setting up an operator address, stop trying to get a free lunch."	2024-05-11T17:33:53.163000+00:00
wale217	But I did everything else I could do, so you have no right to tell I don’t deserve a reward	2024-05-11T17:32:01.564000+00:00
wale217	As much as I wanted to do more. I couldn’t because of the requirements of an enormous amount of goerli eth	2024-05-11T17:31:20.751000+00:00
wale217	I was labeled an operator, you’re not the one to determine who was and wasn’t an operator	2024-05-11T17:30:35.917000+00:00
wale217	We were unfairly treated and we have a right to voice our complaints	2024-05-11T17:29:59.157000+00:00
cheetah33333	I am being technical in that you are not an operator if you did not run validation services for EigenDA that is literally what makes an operator an operator. There is no bias here its just facts.	2024-05-11T17:29:30.156000+00:00
cheetah33333	there was no obligation to give anyone anything	2024-05-11T17:28:25.599000+00:00
wale217	You’re not being real, you’re being bias and very negative.  Airdrops are incentives for activities that community members partake in.  Just because you don’t fall in our category does not mean you get the right to downplay our efforts	2024-05-11T17:28:24.713000+00:00
cheetah33333	how did they do them dirty? they said it was not incentivized literally from day one....then they gave a little bit to ppl that actually had meaningful contributions on the testnet which was really nice of them to do.	2024-05-11T17:28:08.754000+00:00
